Ticker,Date/Time,Price,EMA1,EMA2,MACD,SIGNAL,RSI,RSI-MA
SET50,03/08/2012,825.47,820.64,812.73,7.91,11.38,55.34,57.20
SET50,10/08/2012,841.50,824.43,815.47,8.96,11.08,58.51,57.13
SET50,17/08/2012,843.73,827.94,818.16,9.78,10.92,58.94,56.87
SET50,24/08/2012,850.60,832.06,821.25,10.81,10.90,60.31,57.13
SET50,31/08/2012,840.32,833.56,823.07,10.50,10.85,57.25,58.07
SET50,07/09/2012,851.95,836.91,825.82,11.09,10.88,59.73,58.95
SET50,14/09/2012,874.81,843.80,830.48,13.31,11.19,64.11,60.07
SET50,21/09/2012,878.85,850.17,835.09,15.08,11.67,64.84,61.25
SET50,28/09/2012,886.58,856.79,839.99,16.80,12.31,66.24,62.43
SET50,05/10/2012,889.77,862.79,844.73,18.05,13.03,66.82,64.35
SET50,12/10/2012,879.31,865.79,848.03,17.76,13.62,62.99,65.00
SET50,19/10/2012,886.76,869.60,851.72,17.89,14.16,64.54,65.09
SET50,26/10/2012,866.98,869.13,853.17,15.96,14.38,57.68,63.65
SET50,02/11/2012,883.54,871.75,856.06,15.69,14.54,61.36,62.68
SET50,09/11/2012,873.17,872.01,857.69,14.31,14.52,57.98,60.91
SET50,16/11/2012,867.07,871.11,858.58,12.52,14.27,56.03,59.52
SET50,23/11/2012,869.72,870.86,859.64,11.21,13.88,56.70,57.95
SET50,30/11/2012,898.81,875.94,863.37,12.56,13.72,63.35,59.08
SET50,07/12/2012,905.71,881.35,867.41,13.94,13.75,64.72,59.76
SET50,14/12/2012,922.86,888.90,872.69,16.21,14.06,67.93,61.75
SET50,21/12/2012,934.21,897.14,878.55,18.59,14.62,69.87,64.51
SET50,28/12/2012,945.39,905.91,884.91,21.00,15.42,71.68,67.51
SET50,04/01/2013,958.42,915.46,891.91,23.54,16.43,73.65,69.57
SET50,11/01/2013,950.08,921.75,897.45,24.30,17.42,70.29,70.69
SET50,18/01/2013,959.56,928.63,903.37,25.26,18.40,71.86,71.47
SET50,25/01/2013,977.53,937.52,910.43,27.09,19.48,74.58,72.41
SET50,01/02/2013,1005.09,949.80,919.45,30.36,20.84,78.06,73.69
SET50,08/02/2013,995.90,958.18,926.73,31.46,22.17,74.42,73.84
SET50,15/02/2013,1006.06,966.89,934.28,32.61,23.47,75.76,74.93
SET50,22/02/2013,1014.25,975.50,941.90,33.60,24.74,76.81,75.92
SET50,01/03/2013,1013.15,982.35,948.68,33.66,25.86,76.33,76.27
SET50,08/03/2013,1025.72,990.23,956.02,34.21,26.90,78.00,76.26
SET50,15/03/2013,1045.26,1000.24,964.52,35.72,28.00,80.31,77.44
SET50,22/03/2013,977.04,996.02,965.71,30.31,28.29,57.66,73.82
SET50,29/03/2013,1024.92,1001.27,971.35,29.92,28.49,65.07,71.47
SET50,05/04/2013,982.48,997.86,972.41,25.45,28.11,55.80,67.37
